OMNIWeb Plus Browser Results

Listing for omni2 data from 20200101 to 20221231
Selected parameters:
 1 Scalar B, nT
 2 BZ, nT (GSM)
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s

YEAR DOY HR    1     2     3     4 
2020  21 22   6.6  -4.5   9.2  347.
2020  21 23   7.1  -3.0   8.3  344.
2020  22  0   6.7  -2.3   7.1  336.
2020  22  1   6.9  -2.9   7.7  338.
2020  22  2   7.5  -1.7   7.7  335.
2020  22  3   7.0  -3.2   7.3  342.
2020  22  4   7.2  -4.8   7.7  350.
2020  22  5   7.0  -3.1   6.9  346.
2020  22  6   7.5  -0.7   5.1  351.
2020  22  7   7.6   0.2   5.4  342.
2020  22  8   8.2  -1.9   5.4  347.
2020  22  9   8.2  -3.8   6.3  342.
2020  22 10   7.2  -4.1   6.2  345.
2020  22 11   6.9  -1.6   6.4  345.
2020  22 12   7.1  -2.4   8.4  357.
2020  22 13   7.0  -0.2   7.9  355.
2020  22 14   3.4   1.1  10.2  350.
2020  22 15   4.2   1.7  10.2  351.
2020  22 16   3.8  -0.4  10.0  346.
2020  22 17   3.8   0.9   9.8  347.
2020  22 18   4.4   1.1   8.9  344.
2020  22 19   4.8  -2.2   7.8  337.
2020  22 20   4.8  -3.7   8.4  358.
2020  22 21   4.5  -3.6   8.8  359.
2020  22 22   4.2  -3.0   9.7  353.
2020  22 23   4.4  -2.6  12.4  356.
2020  23  0   5.7  -4.8  11.4  359.
2020  23  1   6.3  -3.1  10.1  355.
2020  23  2   5.2  -2.4  10.3  354.
2020  23  3   4.5   0.0  11.5  355.
2020  23  4   4.5   0.4  11.4  342.
2020  23  5   5.0   2.6  10.9  338.
2020  23  6   4.6   1.4   9.7  334.
2020  23  7   4.4   1.9   8.7  332.
2020  23  8   4.4   0.1   6.4  340.
2020  23  9   4.3   0.8   5.9  342.
2020  23 10   4.2   0.2   5.5  346.
2020  23 11   3.9   0.9   4.2  328.
2020  23 12   3.8   1.0   2.8  317.
2020  23 13   3.5   0.5   2.8  319.
2020  23 14   3.3  -1.1   3.4  325.
2020  23 15   3.4  -0.1   2.9  317.
2020  23 16   3.0  -0.2   4.0  316.
2020  23 17   3.5  -1.5   3.8  321.
2020  23 18   3.1  -2.1   5.5  333.
2020  23 19   3.2  -2.3   6.6  339.
2020  23 20   3.5  -2.3   7.0  339.
2020  23 21   3.9  -2.5   7.0  334.
2020  23 22   3.3  -1.5   8.4  330.
2020  23 23   3.6  -1.9   8.5  327.
2020  24  0   3.6  -0.1   6.8  319.
2020  24  1   3.3  -0.1   6.3  319.
2020  24  2   3.5  -1.7   5.4  317.
2020  24  3   3.4  -2.2   4.3  310.
2020  24  4   3.8  -1.9   4.2  310.
2020  24  5   4.1  -0.9   4.6  313.
2020  24  6   3.8  -0.1   5.3  318.
2020  24  7   3.2   0.1   8.1  324.
2020  24  8   3.2  -0.1   8.4  323.
2020  24  9   3.2  -0.2   8.6  326.
2020  24 10   3.5   0.2   8.2  327.
2020  24 11   3.5  -0.4   9.0  326.
2020  24 12   3.1  -0.7  10.0  324.
2020  24 13   3.2  -0.3   8.5  326.
2020  24 14   2.8   0.8   8.9  322.
2020  24 15   2.5   0.8   9.5  323.
2020  24 16   3.3  -0.5   9.5  325.
2020  24 17   3.6   0.0  10.6  323.
2020  24 18   3.5   0.7   9.9  317.
2020  24 19   3.4   0.3   9.1  312.
2020  24 20   3.7   0.7   9.6  307.
2020  24 21   3.9   0.9   9.7  306.
2020  24 22   3.8   1.4   8.9  303.
2020  24 23   3.0  -0.0  10.5  308.
2020  25  0   2.8  -0.5  10.9  306.
2020  25  1   2.9  -1.5  10.1  304.
2020  25  2   2.8  -1.6  10.5  306.
2020  25  3   3.2  -2.0  11.3  306.
2020  25  4   3.2  -2.8  12.8  314.
2020  25  5   5.2  -2.2   9.6  312.
2020  25  6   5.0  -0.7  12.3  309.
2020  25  7   4.7   1.8  12.2  306.
2020  25  8   5.5  -0.1   9.1  306.
2020  25  9   5.3   0.0   9.6  303.
2020  25 10   4.5   1.9  10.6  302.
2020  25 11   4.0   1.8  11.1  296.
2020  25 12   3.9   1.0  10.4  295.
2020  25 13   3.6  -1.2  10.0  295.
2020  25 14   2.8  -0.1   9.9  294.
